0,0,1,0.00,0,0,,v Sri Lanka,Adelaide,13 Jan 2013,ODI # 3319
DNB,-,-,-,-,-,,v Zimbabwe,Harare,25 Aug 2014,ODI # 3513
DNB,-,-,-,-,-,,v South Africa,Harare,27 Aug 2014,ODI # 3516
DNB,-,-,-,-,-,,v South Africa,Harare,2 Sep 2014,ODI # 3522
2*,2,1,200.00,0,0,,v Pakistan,Sharjah,7 Oct 2014,ODI # 3530
DNB,-,-,-,-,-,,v Pakistan,Dubai (DSC),10 Oct 2014,ODI # 3532
9*,9,4,225.00,1,0,,v Pakistan,Abu Dhabi,12 Oct 2014,ODI # 3534
DNB,-,-,-,-,-,,v South Africa,Canberra,19 Nov 2014,ODI # 3548
DNB,-,-,-,-,-,,v India,Brisbane,15 Jan 2016,ODI # 3724
DNB,-,-,-,-,-,,v India,Melbourne,17 Jan 2016,ODI # 3725
DNB,-,-,-,-,-,,v India,Canberra,20 Jan 2016,ODI # 3726
19,19,13,146.15,1,2,,v New Zealand,Auckland,3 Feb 2016,ODI # 3731
0,0,7,0.00,0,0,,v India,Kolkata,21 Sep 2017,ODI # 3912
DNB,-,-,-,-,-,,v India,Indore,24 Sep 2017,ODI # 3914
DNB,-,-,-,-,-,,v India,Bengaluru,28 Sep 2017,ODI # 3917